HUC12,NumTEspp
060300020101,8
060300020102,6
060300020103,9
060300020104,4
060300020107,10
060300020203,11
060300020204,11
060300020302,1
060300020304,1
060300020402,1
060300020604,1
060300020702,2
060300020703,4
060300020802,2
060300020803,2
060300020902,8
060300020904,9
060300020905,2
060300020906,3
060300021101,1
060300021102,6
060300021103,1
060300021105,1
060300030201,1
060300030205,2
060300030303,1
060300030703,2
060300030704,6
060300030706,8
060300030901,9
060300030903,1
060300030905,4
060300040208,1
060300040303,3
060300040401,1
060300040402,6
060300050105,1
060300050202,3
060300050302,1
060300050303,1
060300050304,1
060300050501,1
060300050502,1
060300050503,1
060300050505,2
060300050507,1
060300050508,2
060300050509,3
060300050601,1
060300050602,1
060300050603,2
060300050605,4
060300050803,9
060300050806,9
060300050808,17
060300051002,12
060300051203,1
060300060105,3
060300060106,1
060300060201,1
060300060204,1
060300060205,1
060300060206,2
060300060207,3
060300060301,3
060300060304,5
060400010504,9
060400010508,9
060400010701,4
060400010703,1
060400010704,3
060400010902,1
060400011001,2
060400011003,1
060400011004,1
060400011005,1
060400011006,2
060400020104,1
060400020105,1
060400020303,1
060400020307,2
060400020404,1
060400020502,1
060400020703,10
060400020704,2
060400020706,6
060400020707,5
060400030506,9
060400030507,1
060400030509,2
060400030902,1
060400030903,1
060400030904,2
060400030908,5
060400040101,1
060400040102,1
060400040103,1
060400040105,1
060400040106,2
060400040305,2
060400050102,1
060400050402,3
060400050408,1
060400050906,1
071000091210,1
071100010601,1
071100010603,1
071100010605,2
071100040301,1
071100040303,2
071100040505,4
071100040604,3
071100040701,2
071100041109,2
071100070402,1
071100090402,1
071401010401,1
071401010603,1
071401010807,1
071401010904,1
071401010909,1
071401010910,1
071401020502,2
071401020503,1
071401020702,2
071401020703,2
071401020704,4
071401020705,2
071401020802,2
071401020803,2
071401020901,5
071401020902,5
071401020903,4
071401021001,5
071401021002,3
071401021003,4
071401021004,4
071401030204,1
071401030302,1
071401030306,1
071401030401,4
071401030403,5
071401030404,3
071401030405,5
071401040407,4
071401050114,1
071401050301,1
071401050302,1
071401050305,1
071401050306,1
071401050307,1
071401050309,1
071401050310,1
071401050402,1
071401050403,1
071401050405,1
071401050502,1
071401050503,1
071401050801,1
071401050802,1
071401050804,1
071401070403,2
080101000103,1
080101000202,1
080101000301,1
080101000401,1
080101000502,1
080101000503,1
080101000604,2
080101000703,1
080102020503,1
080201000102,1
080201000200,1
080201000302,1
080202020406,1
080202020407,2
080202020502,2
080202030402,2
080202030501,1
080202030802,2
080202030902,1
080202030903,1
080202031006,1
080202031008,1
080202031009,1
080202031010,1
080202031012,1
080202031013,1
080202031014,1
080202031210,1
080202031211,1
080202031212,1
080202031301,1
080202031302,1
080202031303,1
080202031305,1
080202031601,1
080202031602,2
080202031603,1
080202031604,2
080202031606,1
080202031607,2
080202031608,1
080202031609,1
080202040506,1
080202040712,1
080202040805,2
080202040806,1
080202040807,1
080202040808,2
080202040902,1
080202040903,2
080202040904,1
080202050508,1
080203010503,1
080203010505,2
080203010506,2
080203020105,1
080203020808,1
080203030502,1
